film,oseba,vloga,mesto
21577,529227,I,2
21577,479475,I,3
21577,259722,I,4
21577,320,R,1
21749,122,I,1
21749,156039,I,2
21749,5681967,I,3
21749,616729,I,4
21749,122,R,1
21814,509,I,1
21814,151377,I,2
21814,543115,I,3
21814,296859,I,4
21814,115218,R,1
21814,5713,R,2
21884,166972,I,1
21884,164883,I,2
21884,472,I,3
21884,92900,I,4
21884,1843,R,1
22100,48,I,1
22100,927145,I,2
22100,484737,I,3
22100,921532,I,4
22100,485,R,1
22158,50,I,1
22158,555617,I,2
22158,2580347,I,3
22158,555597,I,4
22158,572851,R,1
22286,10,I,1
22286,1318,I,2
22286,940589,I,3
22286,951,I,4
22286,920074,R,1
22835,545298,I,1
22835,394244,I,2
22835,387556,I,3
22835,378555,I,4
22835,541149,R,1
22913,285922,I,1
22913,404885,I,2
22913,45754,I,3
22913,40374,I,4
22913,115218,R,1
22958,1256,I,1
22958,858,I,2
22958,1076,I,3
22958,891,I,4
22958,332539,R,1
23027,50,I,1
23027,555597,I,2
23027,555617,I,3
23027,2580347,I,4
23027,572851,R,1
23042,612847,I,1
23042,268225,I,2
23042,899091,I,3
23042,290271,I,4
23042,503777,R,1
23238,566948,I,1
23238,942039,I,2
23238,52203,I,3
23238,35877,I,4
23238,681635,R,1
23238,774325,R,2
23245,472,I,1
23245,423685,I,2
23245,543115,I,3
23245,126365,I,4
23245,5713,R,1
23293,472,I,1
23293,2048,I,2
23293,1452,I,3
23293,1784,I,4
23293,1843,R,1
23427,612847,I,1
23427,245304,I,2
23427,605904,I,3
23427,674019,I,4
23427,1328,R,1
23427,744514,R,2
23563,459030,I,1
23563,921532,I,2
23563,99786,I,3
23563,226158,I,4
23563,485,R,1
23622,394244,I,1
23622,290215,I,2
23622,3339,I,3
23622,749476,I,4
23622,523932,R,1
23649,922170,I,1
23649,776914,I,2
23649,541675,I,3
23649,773525,I,4
23649,3433,R,1
23694,509,I,1
23694,68705,I,2
23694,147248,I,3
23694,292537,I,4
23694,356931,R,1
23969,50,I,1
23969,555617,I,2
23969,555597,I,3
23969,555688,I,4
23969,564970,R,1
24034,62828,I,1
24034,199841,I,2
24034,107575,I,3
24034,444528,I,4
24034,45800,R,1
24184,1647,I,1
24184,1784,I,2
24184,364203,I,3
24184,871287,I,4
24184,1843,R,1
24188,1452,I,1
24188,509,I,2
24188,35159,I,3
24188,404885,I,4
24188,448915,R,1
24216,942039,I,1
24216,35877,I,2
24216,127677,I,3
24216,717046,I,4
24216,178260,R,1
24216,774325,R,2
24601,491048,I,1
24601,1316,I,2
24601,153713,I,3
24601,123994,I,4
24601,782682,R,1
24844,663077,I,1
24844,202120,I,2
24844,546621,I,3
24844,498882,I,4
24844,897118,R,1
24894,472,I,1
24894,509,I,2
24894,543115,I,3
24894,84098,I,4
24894,880618,R,1
25316,22,I,1
25316,1055,I,2
25316,175369,I,3
25316,439850,I,4
25316,1008,R,1
25452,52203,I,1
25452,78923,I,2
25452,48,I,3
25452,903687,I,4
25452,33,R,1
25878,1635,I,1
25878,1485,I,2
25878,1577,I,3
25878,671738,I,4
25878,886754,R,1
26029,232196,I,1
26029,140914,I,2
26029,543169,I,3
26029,853607,I,4
26029,33,R,1
26138,472,I,1
26138,6471,I,2
26138,166972,I,3
26138,387753,I,4
26138,1843,R,1
26174,1224,I,1
26174,14,I,2
26174,41172,I,3
26174,1651,I,4
26174,2031,R,1
26752,1452,I,1
26752,22,I,2
26752,867144,I,3
26752,612743,I,4
26752,515979,R,1
26778,50,I,1
26778,555597,I,2
26778,555617,I,3
26778,137634,I,4
26778,939992,R,1
26778,332539,R,2
27125,1,I,1
27125,1677,I,2
27125,2143,I,3
27125,722424,I,4
27125,762263,R,1
27260,1635,I,1
27260,1485,I,2
27260,71,I,3
27260,484748,I,4
27260,886754,R,1
27532,404158,I,1
27532,154183,I,2
27532,510134,I,3
27532,802,I,4
27532,943758,R,1
27652,796662,I,1
27652,75,I,2
27652,8496,I,3
27652,127677,I,4
27652,485,R,1
27977,122,I,1
27977,2104,I,2
27977,74788,I,3
27977,761866,I,4
27977,122,R,1
27996,11,I,1
27996,795,I,2
27996,51628,I,3
27996,822034,I,4
27996,1008,R,1
28010,1635,I,1
28010,1479,I,2
28010,103567,I,3
28010,665850,I,4
28010,478441,R,1
28096,1366,I,1
28096,7,I,2
28096,12,I,3
28096,864931,I,4
28096,562845,R,1
28212,796662,I,1
28212,393028,I,2
28212,856469,I,3
28212,517058,I,4
28212,33,R,1
28231,24,I,1
28231,140914,I,2
28231,1870,I,3
28231,48,I,4
28231,33,R,1
28333,1,I,1
28333,1677,I,2
28333,602005,I,3
28333,110813,I,4
28333,828419,R,1
28346,795044,I,1
28346,185924,I,2
28346,587178,I,3
28346,639495,I,4
28346,309163,R,1
28597,2050,I,1
28597,26,I,2
28597,897,I,3
28597,195422,I,4
28597,564970,R,1
28691,75,I,1
28691,861,I,2
28691,859,I,3
28691,2048,I,4
28691,281808,R,1
28772,50,I,1
28772,555597,I,2
28772,555617,I,3
28772,427452,I,4
28772,939992,R,1
28950,300064,I,1
28950,663077,I,2
28950,294382,I,3
28950,2233,I,4
28950,719756,R,1
29162,172903,I,1
29162,943553,I,2
29162,2143,I,3
29162,397397,I,4
29162,1008,R,1
29284,2050,I,1
29284,26,I,2
29284,68,I,3
29284,665850,I,4
29284,437717,R,1
29583,143314,I,1
29583,830968,I,2
29583,479164,I,3
29583,41165,I,4
29583,183183,R,1
29583,359457,R,2
29583,414144,R,3
29583,604392,R,4
29583,668998,R,5
29583,789313,R,6
29606,310980,I,1
29606,545298,I,2
29606,579663,I,3
29606,733480,I,4
29606,920074,R,1
29606,176699,R,2
29606,281808,R,3
29811,683345,I,1
29811,210116,I,2
29811,549385,I,3
29811,726585,I,4
29811,33,R,1
29843,1224,I,1
29843,14,I,2
29843,1651,I,3
29843,1647,I,4
29843,2031,R,1
29843,445033,R,2
29850,3540,I,1
29850,645613,I,2
29850,9372,I,3
29850,650115,I,4
29850,1178,R,1
29850,890565,R,2
29870,10,I,1
29870,2285,I,2
29870,7,I,3
29870,792130,I,4
29870,2031,R,1
29947,31,I,1
29947,26,I,2
29947,749476,I,3
29947,146185,I,4
29947,1328,R,1
30241,31,I,1
30241,26,I,2
30241,461615,I,3
30241,817,I,4
30241,2030,R,1
30287,12,I,1
30287,20,I,2
30287,107575,I,3
30287,512267,I,4
30287,943758,R,1
30341,516994,I,1
30341,714878,I,2
30341,510134,I,3
30341,926599,I,4
30341,33,R,1
30637,1366,I,1
30637,384908,I,2
30637,493347,I,3
30637,517919,I,4
30637,2190,R,1
30637,1366,R,2
30643,300064,I,1
30643,800302,I,2
30643,6807,I,3
30643,105482,I,4
30643,138893,R,1
30993,795,I,1
30993,71,I,2
30993,859,I,3
30993,36427,I,4
30993,1008,R,1
31210,12,I,1
31210,107575,I,2
31210,7,I,3
31210,280242,I,4
31210,332539,R,1
31225,17,I,1
31225,71,I,2
31225,41681,I,3
31225,935415,I,4
31225,550892,R,1
31381,22,I,1
31381,46,I,2
31381,593775,I,3
31381,641966,I,4
31381,281808,R,1
31381,2030,R,2
31381,939992,R,3
31385,232196,I,1
31385,2093,I,2
31385,452953,I,3
31385,590055,I,4
31385,939992,R,1
31385,291548,R,2
31398,26,I,1
31398,21,I,2
31398,572142,I,3
31398,1195,I,4
31398,828419,R,1
31448,1651,I,1
31448,115558,I,2
31448,338901,I,3
31448,57412,I,4
31448,485647,R,1
31455,1452,I,1
31455,58,I,2
31455,362567,I,3
31455,593775,I,4
31455,226189,R,1
31505,58,I,1
31505,628579,I,2
31505,1452,I,3
31505,388166,I,4
31505,33,R,1
31679,71,I,1
31679,795,I,2
31679,1647,I,3
31679,36427,I,4
31679,1008,R,1
31725,1256,I,1
31725,2048,I,2
31725,163257,I,3
31725,509,I,4
31725,523932,R,1
31762,26,I,1
31762,795,I,2
31762,28,I,3
31762,1932,I,4
31762,1328,R,1
31867,10,I,1
31867,7,I,2
31867,485509,I,3
31867,313438,I,4
31867,909825,R,1
31885,197950,I,1
31885,339669,I,2
31885,239513,I,3
31885,664186,I,4
31885,719756,R,1
31951,472,I,1
31951,1651,I,2
31951,509,I,3
31951,41172,I,4
31951,498174,R,1
31971,78,I,1
31971,872456,I,2
31971,222596,I,3
31971,1017,I,4
31971,406,R,1
32138,23,I,1
32138,604656,I,2
32138,1961,I,3
32138,481618,I,4
32138,281808,R,1
32138,2030,R,2
32138,503777,R,3
32138,851537,R,4
32138,861703,R,5
32138,896542,R,6
32143,790454,I,1
32143,1076,I,2
32143,751426,I,3
32143,92683,I,4
32143,2030,R,1
32145,643353,I,1
32145,59,I,2
32145,57,I,3
32145,733460,I,4
32145,943758,R,1
32455,831439,I,1
32455,852252,I,2
32455,1727756,I,3
32455,123553,I,4
32455,19282,R,1
32455,35899,R,2
32455,1968474,R,3
32455,272568,R,4
32455,359457,R,5
32455,359610,R,6
32455,373429,R,7
32455,414144,R,8
32455,527217,R,9
32455,730860,R,10
32455,766402,R,11
32455,789313,R,12
32484,566948,I,1
32484,206478,I,2
32484,3339,I,3
32484,1695,I,4
32484,33,R,1
32551,20,I,1
32551,2034,I,2
32551,1017,I,3
32551,335788,I,4
32551,406,R,1
32553,122,I,1
32553,2104,I,2
32553,642988,I,3
32553,306786,I,4
32553,122,R,1
32599,26,I,1
32599,751426,I,2
32599,897,I,3
32599,516876,I,4
32599,1328,R,1
32701,12,I,1
32701,3339,I,2
32701,827263,I,3
32701,408586,I,4
32701,943758,R,1
32762,61,I,1
32762,1105,I,2
32762,1651,I,3
32762,814216,I,4
32762,541149,R,1
32904,26,I,1
32904,31,I,2
32904,71,I,3
32904,404046,I,4
32904,2030,R,1
32910,427934,I,1
32910,747759,I,2
32910,305,I,3
32910,110893,I,4
32910,272568,R,1
32910,373429,R,2
32910,414144,R,3
32910,455741,R,4
32910,527217,R,5
32910,730860,R,6
32910,789313,R,7
32976,59,I,1
32976,21,I,2
32976,1695,I,3
32976,752,I,4
32976,33,R,1
33028,1224,I,1
33028,550782,I,2
33028,1647,I,3
33028,187981,I,4
33028,2031,R,1
33045,837925,I,1
33045,71,I,2
33045,604656,I,3
33045,771584,I,4
33045,523932,R,1
33152,891998,I,1
33152,754942,I,2
33152,243454,I,3
33152,433188,I,4
33152,3490,R,1
33152,3836,R,2
33152,924065,R,3
33152,466099,R,4
33152,466113,R,5
33152,580017,R,6
33238,46,I,1
33238,1791,I,2
33238,914778,I,3
33238,276065,I,4
33238,503777,R,1
33373,11,I,1
33373,1766,I,2
33373,393028,I,3
33373,871287,I,4
33373,1328,R,1
33467,80,I,1
33467,1072,I,2
33467,173827,I,3
33467,1547,I,4
33467,80,R,1
33553,75,I,1
33553,6,I,2
33553,1805,I,3
33553,187981,I,4
33553,281808,R,1
33563,1359,I,1
33563,112395,I,2
33563,82884,I,3
33563,88285,I,4
33563,35899,R,1
33563,272568,R,2
33563,414144,R,3
33563,455741,R,4
33563,730860,R,5
33563,789313,R,6
33563,254675,R,7
33717,526946,I,1
33717,7,I,2
33717,193232,I,3
33717,447913,I,4
33717,909825,R,1
33729,682074,I,1
33729,58,I,2
33729,496819,I,3
33729,187981,I,4
33729,406,R,1
33804,1766,I,1
33804,20,I,2
33804,2013,I,3
33804,657874,I,4
33804,2545,R,1
33836,12,I,1
33836,3339,I,2
33836,942863,I,3
33836,137999,I,4
33836,943758,R,1
33870,7,I,1
33870,802,I,2
33870,313438,I,3
33870,48,I,4
33870,1379,R,1
33891,11,I,1
33891,1766,I,2
33891,36427,I,3
33891,974,I,4
33891,1008,R,1
33922,1479,I,1
33922,599910,I,2
33922,713270,I,3
33922,7217,I,4
33922,33,R,1
34167,11,I,1
34167,974,I,2
34167,504125,I,3
34167,864869,I,4
34167,1328,R,1
34240,566948,I,1
34240,43,I,2
34240,913094,I,3
34240,218131,I,4
34240,2545,R,1
34248,26,I,1
34248,21,I,2
34248,362567,I,3
34248,115558,I,4
34248,33,R,1
34398,1647,I,1
34398,929925,I,2
34398,1033,I,3
34398,897,I,4
34398,905729,R,1
34492,17013,I,1
34492,18755,I,2
34492,1027883,I,3
34492,66951,I,4
34492,19282,R,1
34492,35899,R,2
34492,359457,R,3
34492,373871,R,4
34492,730860,R,5
34492,766402,R,6
34492,942687,R,7
34492,204190,R,8
34492,314671,R,9
34583,7,I,1
34583,6,I,2
34583,2134,I,3
34583,1647,I,4
34583,2031,R,1
34587,800386,I,1
34587,7218,I,2
34587,808949,I,3
34587,709905,I,4
34587,869664,R,1
34862,1078,I,1
34862,1,I,2
34862,721851,I,3
34862,197713,I,4
34862,762263,R,1
34862,20980,R,2
35015,392529,I,1
35015,1072,I,2
35015,182537,I,3
35015,879,I,4
35015,80,R,1
35015,281381,R,2
35015,936404,R,3
35093,2093,I,1
35093,682074,I,2
35093,942863,I,3
35093,926599,I,4
35093,943758,R,1
35140,12,I,1
35140,2134,I,2
35140,1647,I,3
35140,178066,I,4
35140,710924,R,1
35169,1055,I,1
35169,566948,I,2
35169,802,I,3
35169,884964,I,4
35169,2545,R,1
35211,11,I,1
35211,942863,I,2
35211,751899,I,3
35211,974,I,4
35211,939992,R,1
35279,485509,I,1
35279,191950,I,2
35279,472603,I,3
35279,62667,I,4
35279,33,R,1
35423,212,I,1
35423,413168,I,2
35423,630,I,3
35423,5227,I,4
35423,3506,R,1
35432,42,I,1
35432,43,I,2
35432,696481,I,3
35432,187284,I,4
35432,878338,R,1
35446,1479,I,1
35446,912,I,2
35446,821041,I,3
35446,107795,I,4
35446,523932,R,1
35567,75,I,1
35567,31,I,2
35567,47810,I,3
35567,654239,I,4
35567,828419,R,1
35575,10,I,1
35575,504125,I,2
35575,404158,I,3
35575,926636,I,4
35575,2031,R,1
35753,294382,I,1
35753,496185,I,2
35753,289932,I,3
35753,543924,I,4
35753,167241,R,1
35896,11,I,1
35896,6,I,2
35896,848667,I,3
35896,194742,I,4
35896,939992,R,1
35899,1033,I,1
35899,557314,I,2
35899,461549,I,3
35899,41172,I,4
35899,624756,R,1
35979,74,I,1
35979,747,I,2
35979,2013,I,3
35979,537685,I,4
35979,523932,R,1
36027,214168,I,1
36027,7218,I,2
36027,255199,I,3
36027,57121,I,4
36027,869664,R,1
36112,515193,I,1
36112,39,I,2
36112,906932,I,3
36112,571129,I,4
36112,3836,R,1
36112,696247,R,2
36244,20,I,1
36244,763,I,2
36244,400794,I,3
36244,63,I,4
36244,920074,R,1
36323,7,I,1
36323,71636,I,2
36323,619798,I,3
36323,978,I,4
36323,466113,R,1
36342,942863,I,1
36342,1072,I,2
36342,136994,I,3
36342,871287,I,4
36342,33,R,1
36506,740463,I,1
36506,610228,I,2
36506,624653,I,3
36506,28249,I,4
36506,3433,R,1
36613,26,I,1
36613,485509,I,2
36613,557339,I,3
36613,7217,I,4
36613,1008,R,1
36775,534045,I,1
36775,1766,I,2
36775,64,I,3
36775,56477,I,4
36775,697,R,1
36855,964,I,1
36855,6,I,2
36855,1072,I,3
36855,926599,I,4
36855,2030,R,1
36868,1485,I,1
36868,763,I,2
36868,545298,I,3
36868,942863,I,4
36868,943758,R,1
36872,1078,I,1
36872,280178,I,2
36872,570451,I,3
36872,113769,I,4
36872,564970,R,1
36969,80,I,1
36969,21,I,2
36969,639684,I,3
36969,307750,I,4
36969,829038,R,1
37008,74,I,1
37008,763,I,2
37008,916067,I,3
37008,1637,I,4
37008,695937,R,1
37017,845,I,1
37017,388303,I,2
37017,805790,I,3
37017,904,I,4
37017,33,R,1
37059,23,I,1
37059,639684,I,2
37059,802,I,3
37059,107082,I,4
37059,591486,R,1
37101,694090,I,1
37101,872456,I,2
37101,794297,I,3
37101,472603,I,4
37101,229424,R,1
37382,7,I,1
37382,2,I,2
37382,974,I,3
37382,602834,I,4
37382,1328,R,1
37415,1537,I,1
37415,404046,I,2
37415,187981,I,3
37415,804224,I,4
37415,20765,R,1
37469,64,I,1
37469,910,I,2
37469,557339,I,3
37469,107631,I,4
37469,485,R,1
37514,69,I,1
37514,337113,I,2
37514,37,I,3
37514,411826,I,4
37514,796645,R,1
37514,53484,R,2
37514,360253,R,3
37515,280178,I,1
37515,404158,I,2
37515,371775,I,3
37515,950019,I,4
37515,163229,R,1
37549,472,I,1
37549,509,I,2
37549,199787,I,3
37549,41138,I,4
37549,936404,R,1
37558,424743,I,1
37558,2145,I,2
37558,391361,I,3
37558,136983,I,4
37558,180,R,1
37635,424345,I,1
37635,714878,I,2
37635,191745,I,3
37635,581146,I,4
37635,146709,R,1
37635,187769,R,2
37635,213136,R,3
37635,357607,R,4
37638,623684,I,1
37638,767243,I,2
37638,236873,I,3
37638,531705,I,4
37638,880618,R,1
37674,1916,I,1
37674,56761,I,2
37674,105482,I,3
37674,719749,I,4
37674,138893,R,1
37800,384908,I,1
37800,515193,I,2
37800,138791,I,3
37800,399648,I,4
37800,3836,R,1
37800,696247,R,2
37824,3540,I,1
37824,874899,I,2
37824,83643,I,3
37824,623442,I,4
37824,1178,R,1
37865,74,I,1
37865,664273,I,2
37865,2022,I,3
37865,1637,I,4
37865,821472,R,1
37884,1537,I,1
37884,943837,I,2
37884,856062,I,3
37884,196247,I,4
37884,697,R,1
37913,1076,I,1
37913,7217,I,2
37913,779923,I,3
37913,781,I,4
37913,2031,R,1
37988,1695,I,1
37988,368836,I,2
37988,1656,I,3
37988,1450,I,4
37988,506797,R,1
38057,64,I,1
38057,910,I,2
38057,2053,I,3
38057,512267,I,4
38057,485,R,1
38109,6,I,1
38109,60,I,2
38109,155011,I,3
38109,1991,I,4
38109,33,R,1
38166,592058,I,1
38166,596663,I,2
38166,527741,I,3
38166,1359,I,4
38166,272568,R,1
38166,314671,R,2
38166,455741,R,3
38166,730860,R,4
38166,949597,R,5
38348,544786,I,1
38348,196816,I,2
38348,664186,I,3
38348,314590,I,4
38348,168413,R,1
38348,167496,R,2
38355,7,I,1
38355,2,I,2
38355,725891,I,3
38355,896015,I,4
38355,1328,R,1
38499,428354,I,1
38499,1072,I,2
38499,60,I,3
38499,859,I,4
38499,896542,R,1
38499,112897,R,2
38499,226189,R,3
38499,291548,R,4
38499,580017,R,5
38499,6388,R,6
38499,903049,R,7
38559,28,I,1
38559,1229,I,2
38559,534317,I,3
38559,130407,I,4
38559,896533,R,1
38574,590055,I,1
38574,387753,I,2
38574,905697,I,3
38574,1739,I,4
38574,180,R,1
38650,71,I,1
38650,1656,I,2
38650,859,I,3
38650,593775,I,4
38650,1008,R,1
38669,44,I,1
38669,1257,I,2
38669,639529,I,3
38669,215260,I,4
38669,802563,R,1
38733,57,I,1
38733,1375,I,2
38733,178509,I,3
38733,126402,I,4
38733,3836,R,1
38733,696247,R,2
38762,20,I,1
38762,1105,I,2
38762,1514,I,3
38762,236157,I,4
38762,406,R,1
38787,26,I,1
38787,6,I,2
38787,1647,I,3
38787,129894,I,4
38787,33,R,1
38854,1805,I,1
38854,2092,I,2
38854,445523,I,3
38854,2025,I,4
38854,307819,R,1
38890,536167,I,1
38890,264762,I,2
38890,656496,I,3
38890,30383,I,4
38890,744023,R,1
38969,913095,I,1
38969,237985,I,2
38969,59934,I,3
38969,666087,I,4
38969,287836,R,1
38969,414144,R,2
38975,570192,I,1
38975,107575,I,2
38975,856,I,3
38975,808949,I,4
38975,802563,R,1
38988,1766,I,1
38988,1336,I,2
38988,779507,I,3
38988,18,I,4
38988,587277,R,1
38991,80,I,1
38991,64,I,2
38991,949835,I,3
38991,580882,I,4
38991,80,R,1
39169,26,I,1
39169,1485,I,2
39169,73,I,3
39169,884964,I,4
39169,718321,R,1
39190,26,I,1
39190,949835,I,2
39190,57,I,3
39190,941253,I,4
39190,467396,R,1
39192,39,I,1
39192,268119,I,2
39192,733460,I,3
39192,481966,I,4
39192,3836,R,1
39192,696247,R,2
39224,44,I,1
39224,2025,I,2
39224,1948,I,3
39224,1119,I,4
39224,202088,R,1
39302,7,I,1
39302,2,I,2
39302,71636,I,3
39302,1547,I,4
39302,202681,R,1
39416,60,I,1
39416,570192,I,2
39416,2092,I,3
39416,2141,I,4
39416,1415,R,1
39417,595531,I,1
39417,686035,I,2
39417,386085,I,3
39417,473223,I,4
39417,744023,R,1
39420,74,I,1
39420,1322,I,2
39420,1695,I,3
39420,78923,I,4
39420,581,R,1
39628,350324,I,1
39628,58,I,2
39628,668361,I,3
39628,516876,I,4
39628,780833,R,1
39631,122,I,1
39631,180900,I,2
39631,734467,I,3
39631,507673,I,4
39631,122,R,1
39677,51,I,1
39677,628579,I,2
39677,159258,I,3
39677,431922,I,4
39677,715346,R,1
39689,53,I,1
39689,339452,I,2
39689,18,I,3
39689,281766,I,4
39689,869664,R,1
39694,60,I,1
39694,2897,I,2
39694,1452,I,3
39694,2013,I,4
39694,33,R,1
40064,78,I,1
40064,784,I,2
40064,1013,I,3
40064,955,I,4
40064,406,R,1
40068,7941,I,1
40068,182579,I,2
40068,1033,I,3
40068,509,I,4
40068,59106,R,1
40068,487237,R,2
40160,1537,I,1
40160,1577,I,2
40160,1452,I,3
40160,534317,I,4
40160,268513,R,1
40202,71,I,1
40202,2017,I,2
40202,2011,I,3
40202,907785,I,4
40202,368871,R,1
40308,23,I,1
40308,1,I,2
40308,492444,I,3
40308,587900,I,4
40308,910199,R,1
40338,724732,I,1
40338,6807,I,2
40338,237520,I,3
40338,377501,I,4
40338,715346,R,1
40369,78,I,1
40369,20,I,2
40369,73,I,3
40369,784,I,4
40369,406,R,1
40416,59,I,1
40416,1739,I,2
40416,491406,I,3
40416,460874,I,4
40416,59,R,1
40506,7,I,1
40506,64,I,2
40506,2,I,3
40506,859,I,4
40506,1379,R,1
40522,536009,I,1
40522,821543,I,2
40522,136794,I,3
40522,22821,I,4
40522,1120,R,1
40525,28,I,1
40525,80,I,2
40525,806041,I,3
40525,26011,I,4
40525,80,R,1
40536,21,I,1
40536,431139,I,2
40536,160130,I,3
40536,431169,I,4
40536,649097,R,1
40613,26,I,1
40613,1485,I,2
40613,2048,I,3
40613,219666,I,4
40613,693281,R,1
40636,280178,I,1
40636,3318,I,2
40636,366253,I,3
40636,852279,I,4
40636,202088,R,1
40662,628579,I,1
40662,27,I,2
40662,909727,I,3
40662,838066,I,4
40662,180,R,1
40724,78,I,1
40724,1050,I,2
40724,238445,I,3
40724,974,I,4
40724,1328,R,1
40724,744504,R,2
40725,906932,I,1
40725,330961,I,2
40725,790452,I,3
40725,375818,I,4
40725,3836,R,1
40725,696247,R,2
40746,71,I,1
40746,197982,I,2
40746,335048,I,3
40746,389516,I,4
40746,33,R,1
40823,1766,I,1
40823,44,I,2
40823,723954,I,3
40823,179819,I,4
40823,514822,R,1
40897,7,I,1
40897,404158,I,2
40897,392529,I,3
40897,71636,I,4
40897,1379,R,1
40979,793766,I,1
40979,1536,I,2
40979,945468,I,3
40979,463152,I,4
40979,41,R,1
41090,75,I,1
41090,31,I,2
41090,391062,I,3
41090,263885,I,4
41090,2030,R,1
41094,1078,I,1
41094,1651,I,2
41094,89314,I,3
41094,572689,I,4
41094,19282,R,1
41094,314671,R,2
41094,455741,R,3
41113,2024,I,1
41113,409869,I,2
41113,238445,I,3
41113,1135,I,4
41113,744035,R,1
41154,753479,I,1
41154,361697,I,2
41154,875366,I,3
41154,837503,I,4
41154,654868,R,1
41386,11,I,1
41386,623658,I,2
41386,557339,I,3
41386,808949,I,4
41386,896542,R,1
41452,14,I,1
41452,1050,I,2
41452,724732,I,3
41452,394244,I,4
41452,943758,R,1
41546,696866,I,1
41546,27,I,2
41546,387753,I,3
41546,339343,I,4
41546,357607,R,1
41587,2022,I,1
41587,1105,I,2
41587,815433,I,3
41587,18,I,4
41587,581,R,1
41699,1536,I,1
41699,793766,I,2
41699,43396,I,3
41699,594542,I,4
41699,41,R,1
41716,37,I,1
41716,69,I,2
41716,308081,I,3
41716,587900,I,4
41716,2045,R,1
41716,37,R,2
41719,544786,I,1
41719,673749,I,2
41719,143018,I,3
41719,6741,I,4
41719,168413,R,1
41841,78,I,1
41841,730,I,2
41841,544711,I,3
41841,875861,I,4
41841,245385,R,1
41866,78,I,1
41866,238445,I,2
41866,730,I,3
41866,424565,I,4
41866,406,R,1
41959,80,I,1
41959,1072,I,2
41959,885098,I,3
41959,2145,I,4
