id,naslov,dolzina,leto,ocena,opis
0434409,V kot vroče maščevanje,132,2005,8.2,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
0120586,Generacija X,119,1998,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
0120338,Titanik,194,1997,7.8,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
0088763,Vrnitev v prihodnost,116,1985,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
2015381,Varuhi galaksije,121,2014,8.1,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.
0110413,Léon,110,1994,8.6,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade."
0114814,Osumljenih pet,106,1995,8.6,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
0103064,Terminator 2 - Sodni dan,137,1991,8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
0266697,Ubila bom Billa 1,111,2003,8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
0910970,Wall-E,98,2008,8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
0099685,Dobri fantje,146,1990,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
0112573,Pogumno srce,178,1995,8.4,"When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England."
0266543,Reševanje malega Nema,100,2003,8.1,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
0086190,Vojna zvezd: Epizoda VI - Vrnitev jedija,131,1983,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Vader back from the dark side without falling into the Emperor's trap."
0167404,Šesti čut,107,1999,8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.
0371746,Iron Man,126,2008,7.9,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
1049413,V višave,96,2009,8.3,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway."
0120382,Trumanov show,103,1998,8.1,An insurance salesman/adjuster discovers his entire life is actually a television show.
0073486,Let nad kukavičjim gnezdom,133,1975,8.7,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
0338013,Večno sonce brezmadežnega uma,108,2004,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
0110357,The Lion King,88,1994,8.5,"A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities."
0105236,Stekli psi,99,1992,8.3,"After a simple jewelry heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
1392170,Igre lakote: Arena smrti,142,2012,7.2,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
0082971,Lov za izgubljenim zakladom,115,1981,8.5,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before"
1431045,Deadpool,108,2016,8.0,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.
2488496,Vojna zvezd: Sila se prebuja,136,2015,8.0,"Three decades after the Empire's defeat, a new threat arises in the militant First Order. Stormtrooper defector Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker."
0114709,Svet igrač,81,1995,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
0107290,Jurski park,127,1993,8.1,"During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok."
0081505,Izžarevanje,146,1980,8.4,"A family heads to an isolated hotel for the winter where an evil spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future."
0268978,Čudoviti um,135,2001,8.2,After
1392190,Pobesneli Max: cesta besa,120,2015,8.1,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
0477348,Ni prostora za starce,122,2007,8.1,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
0119217,Dobri Will Hunting,126,1997,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
1010048,Revni milijonar,120,2008,8.0,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?"""
2267998,Ni je več,149,2014,8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
0198781,Pošasti iz omare,92,2001,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
0401792,Mesto greha,124,2005,8.0,"A film that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption."
0903624,Hobit: Nepricakovano potovanje,169,2012,7.9,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
0088247,Terminator,107,1984,8.0,"A seemingly indestructible android is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs."
0208092,Pljuni in jo stisni,104,2000,8.3,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
0095016,Umri pokončno,132,1988,8.2,"John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles."
0078748,Osmi potnik,116,1979,8.5,"After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun."
1454468,Gravitacija,91,2013,7.7,Two astronauts work together to survive after an accident which leaves them stranded in space.
0264464,"Ujemi me, če me moreš",141,2002,8.1,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor."
0246578,Donnie Darko,113,2001,8.1,"A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident."
0180093,Rekvijem za sanje,102,2000,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
0416449,300,117,2006,7.7,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
0066921,A Clockwork Orange,136,1971,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
1201607,Harry Potter in Svetinje smrti - 2. del,130,2011,8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
1300854,Iron Man 3,130,2013,7.2,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
0435761,Svet igrač 3,103,2010,8.3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
1119646,The Hangover,100,2009,7.7,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
1205489,Gran Torino,116,2008,8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
0800369,Thor,115,2011,7.0,"The powerful, but arrogant god Thor, is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
3659388,Marsovec,144,2015,8.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
1675434,Prijatelja,112,2011,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
0086250,Brazgotinec,170,1983,8.3,"In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
0118715,Veliki Lebowski,117,1998,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
0120915,Vojna zvezd: Epizoda I - Grozeca prikazen,136,1999,6.5,"Two Jedi Knights escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their old glory."
0211915,Amélie,122,2001,8.3,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
0947798,Crni labod,108,2010,8.0,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity."
0770828,Jekleni mož,143,2013,7.1,"Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction."
0317248,Cidade de Deus,130,2002,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
0458339,Prvi mascevalec: Stotnik Amerika,124,2011,6.9,"Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization."
1843866,Stotnik Amerika: Zimski vojak,136,2014,7.8,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
0145487,Spider-Man,121,2002,7.3,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."
1228705,Iron Man 2,124,2010,7.0,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
0121766,Vojna zvezd: Epizoda III - Mascevanje Sitha,140,2005,7.6,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy."
0480249,"Jaz, legenda",101,2007,7.2,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
0075314,Taksist,114,1976,8.3,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
0253474,Pianist,150,2002,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
2395427,Maščevalci: Ultronova doba,141,2015,7.4,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
0097576,Indiana Jones in Zadnji križarski pohod,127,1989,8.3,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against"
2278388,Grand Budapest hotel,99,2014,8.1,"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend."
1045658,Za dezjem posije sonce,122,2012,7.7,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
0083658,Iztrebljevalec,117,1982,8.2,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
1877832,Mozje X: Dnevi prihodnje preteklosti,132,2014,8.0,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
0383574,Pirati s Karibov: Mrtveceva skrinja,151,2006,7.3,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
0060196,"Dober, grd, hudoben",161,1966,8.9,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
2084970,Igra imitacije,114,2014,8.0,"During World War II, the English mathematical genius"
1136608,Okrozje 9,112,2009,7.9,An extraterrestrial race forced to live in slum-like conditions on Earth suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.
0378194,Ubila bom Billa 2,137,2004,8.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
1270798,Mozje X: Prvi razred,131,2011,7.7,"In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III."
0093058,Full Metal Jacket,116,1987,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
0892769,Kako izuriti svojega zmaja,98,2010,8.1,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
1663202,Povratnik,156,2015,8.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
0090605,Osmi potnik 2,137,1986,8.4,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?"
1074638,Skyfall,143,2012,7.8,"Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
1504320,Kraljev govor,118,2010,8.0,"The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it."
2582802,Ritem norosti,107,2014,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
0117951,Trainspotting,94,1996,8.2,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
0440963,Bournov ultimat,115,2007,8.0,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
0317705,Neverjetni,115,2004,8.0,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
0405159,Punčka za milijon dolarjev,132,2004,8.1,A determined woman works with a hardened boxing trainer to become a professional.
0050083,12 jeznih mož,96,1957,8.9,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
1951264,Igre lakote: Kruto mascevanje,146,2013,7.5,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
0418279,Transformerji,144,2007,7.1,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager."
0121765,Vojna zvezd: Epizoda II - Napad klonov,142,2002,6.6,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-wan Kenobi investigates an assassination attempt on the Senator and discovers a secret clone army crafted for the Jedi."
0457430,Favnov labirint,118,2006,8.2,"In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
2024544,12 let suženj,134,2013,8.1,"In the antebellum United States,"
1285016,Socialno omrezje,120,2010,7.7,Harvard student
0382932,Ratatouille,111,2007,8.0,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
1170358,Hobit: Smaugova pusca,161,2013,7.9,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
2975590,Batman proti Supermanu: zora pravice,151,2016,6.6,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."
0796366,Zvezdne steze,127,2009,8.0,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
0116282,Fargo,98,1996,8.1,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
0449088,Pirati s Karibov: Na robu sveta,169,2007,7.1,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle."
0241527,Harry Potter in kamen modrosti,152,2001,7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
0126029,Shrek,90,2001,7.9,"After his swamp is filled with magical creatures, Shrek agrees to rescue Princess Fiona for a villainous lord in order to get his land back."
0816711,Svetovna vojna Z,116,2013,7.0,"Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself."
0988045,Sherlock Holmes,128,2009,7.6,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
1670345,Mojstri iluzij,115,2013,7.3,"An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money."
0114746,12 opic,129,1995,8.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
0936501,Ugrabljena,93,2008,7.8,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
0245429,Čudežno potovanje,125,2001,8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
3498820,Stotnik Amerika: državljanska vojna,147,2016,7.8,Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man.
0078788,Apokalipsa danes,147,1979,8.5,"During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe."
1446714,Prometej,124,2012,7.0,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
0381061,007 - Casino Royale,144,2006,8.0,"Armed with a license to kill, Secret Agent James Bond sets out on his first mission as 007, and must defeat a private banker to terrorists in a high stakes game of poker at Casino Royale, Montenegro, but things are not what they seem."
1637725,Ted,106,2012,6.9,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori."
1631867,Na robu jutrišnjega dne,113,2014,7.9,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
0118799,Življenje je lepo,116,1997,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
0421715,Nenavaden primer Benjamina Buttona,166,2008,7.8,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences."
0107048,Neskončen dan,101,1993,8.0,A weatherman finds himself inexplicably living the same day over and over again.
2802144,Kingsman: tajna služba,129,2014,7.7,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius."
1024648,Misija Argo,120,2012,7.7,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
0120903,Mozje X,104,2000,7.4,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.
0062622,2001: A Space Odyssey,149,1968,8.3,"A space-opera spanning the dawn of man to humanity reaching the stars, 2001: A Space Odyssey tells the story of the Black Monolith, humanity's evolution and the rise of A.I.'s ultimate supercomputer HAL 9000."
0369610,Jurski svet,124,2015,7.0,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree."
0454876,Pijevo zivljenje,127,2012,7.9,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
3315342,Logan: Wolverine,137,2017,8.1,"In the near future, a weary Logan cares for an ailing Professor X, somewhere on the Mexican border. However, Logan's attempts to hide from the world, and his legacy, are upended when a young mutant arrives, pursued by dark forces."
0054215,Psiho,109,1960,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
0948470,Neverjetni Spider-man,136,2012,7.0,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death."
0758758,V divjino,148,2007,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
0113277,Vročina,170,1995,8.2,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
1981115,Thor: Svet teme,112,2013,7.0,"When Dr. Jane Foster gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves."
0780504,Voznja,100,2011,7.8,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.
2096673,Vrvež v moji glavi,95,2015,8.2,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
4154756,Maščevalci: Brezmejna vojna,149,2018,8.6,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
1392214,Ugrabljeni,153,2013,8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
1386697,Odred odpisanih,123,2016,6.1,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.
2294629,Ledeno kraljestvo,102,2013,7.5,"When the newly-crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
2562232,Birdman ali Nepricakovana odlika nevednosti,119,2014,7.7,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
