id,naslov,dolzina,leto,ocena,opis
0434409,V kot vroče maščevanje,132,2005,8.2,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
0120586,Generacija X,119,1998,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
0120338,Titanik,194,1997,7.8,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
0088763,Vrnitev v prihodnost,116,1985,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
0110413,Léon,110,1994,8.6,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade."
2015381,Varuhi galaksije,121,2014,8.1,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.
0114814,Osumljenih pet,106,1995,8.6,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
0103064,Terminator 2 - Sodni dan,137,1991,8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
0266697,Ubila bom Billa 1,111,2003,8.1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
0910970,Wall-E,98,2008,8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
0099685,Dobri fantje,146,1990,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
0112573,Pogumno srce,178,1995,8.4,"When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England."
0266543,Reševanje malega Nema,100,2003,8.1,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
0086190,Vojna zvezd: Epizoda VI - Vrnitev jedija,131,1983,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Vader back from the dark side without falling into the Emperor's trap."
0167404,Šesti čut,107,1999,8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.
0371746,Iron Man,126,2008,7.9,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
