id,naslov,leto,dolzina,ocena,opis
211915,Amélie,2001,122,8.4,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
120915,Star Wars: Episode I - The Phantom Menace,1999,136,6.5,"Two Jedi Knights escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to reclaim their old glory."
317248,City of God,2002,130,8.7,"Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer."
1045658,Silver Linings Playbook,2012,122,7.8,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
264464,Catch Me If You Can,2002,141,8.0,The true story of
480249,I Am Legend,2007,101,7.2,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
1136608,Okrozje 9,2009,112,8.0,An extraterrestrial race forced to live in slum-like conditions on Earth suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.
1228705,Iron Man 2,2010,124,7.0,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
383574,Pirates of the Caribbean: Dead Man's Chest,2006,151,7.3,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
1074638,Skyfall,2012,143,7.8,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
121766,Star Wars: Episode III - Revenge of the Sith,2005,140,7.6,"During the near end of the clone wars, Darth Sidious has revealed himself and is ready to execute the last part of his plan to rule the Galaxy. Sidious is ready for his new apprentice, Lord..."
1270798,X-Men: First Class,2011,132,7.8,"In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III."
97576,Indiana Jones and the Last Crusade,1989,127,8.3,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana Jones must follow in his father's footsteps and stop the Nazis."
1877832,X-Men: Days of Future Past,2014,132,8.0,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
378194,Kill Bill: Vol. 2,2004,137,8.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd and the treacherous, one-eyed Elle."
1431045,Deadpool,2016,108,8.1,A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.
418279,Transformers,2007,144,7.1,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager."
458339,Captain America: The First Avenger,2011,124,6.9,"Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization."
75314,Taxi Driver,1976,113,8.3,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process."
1675434,The Intouchables,2011,112,8.6,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
1504320,The King's Speech,2010,118,8.0,"The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it."
796366,Star Trek,2009,127,8.0,"The brash James T. Kirk tries to live up to his father's legacy with Commander Spock keeping him in check as a vengeful, time-traveling Romulan creates black holes to destroy the Federation one planet at a time."
60196,"The Good, the Bad and the Ugly",1966,161,8.9,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
253474,The Pianist,2002,150,8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
1843866,Captain America: The Winter Soldier,2014,136,7.8,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
1951264,The Hunger Games: Catching Fire,2013,146,7.6,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
440963,The Bourne Ultimatum,2007,115,8.1,Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.
3659388,The Martian,2015,144,8.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
90605,Aliens,1986,137,8.4,The moon from
892769,How to Train Your Dragon,2010,98,8.2,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
93058,Full Metal Jacket,1987,116,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
1170358,The Hobbit: The Desolation of Smaug,2013,161,7.9,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
405159,Million Dollar Baby,2004,132,8.1,A determined woman works with a hardened boxing trainer to become a professional.
936501,Ugrabljena,2008,93,7.8,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
2278388,The Grand Budapest Hotel,2014,99,8.1,"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend."
1285016,The Social Network,2010,120,7.7,Harvard student
317705,The Incredibles,2004,115,8.0,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
2084970,The Imitation Game,2014,114,8.1,"During World War II, mathematician Alan Turing tries to crack the enigma code with help from fellow mathematicians."
988045,Sherlock Holmes,2009,128,7.6,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
382932,Ratatouille,2007,111,8.0,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
449088,Pirates of the Caribbean: At World's End,2007,169,7.1,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle."
1637725,Ted,2012,106,7.0,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori."
381061,Casino Royale,2006,144,8.0,"Armed with a licence to kill, Secret Agent James Bond sets out on his first mission as 007 and must defeat a weapons dealer in a high stakes game of poker at Casino Royale, but things are not what they seem."
117951,Trainspotting,1996,94,8.2,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
2395427,Avengers: Age of Ultron,2015,141,7.5,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's Mightiest Heroes to stop the villainous Ultron from enacting his terrible plans."
457430,Pan's Labyrinth,2006,118,8.2,"In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
126029,Shrek,2001,90,7.9,"After his swamp is filled with magical creatures, an ogre agrees to rescue a princess for a villainous lord in order to get his land back."
816711,World War Z,2013,116,7.0,"Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself."
121765,Star Wars: Episode II - Attack of the Clones,2002,142,6.7,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé, while Obi-Wan investigates an assassination attempt on the Senator and discovers a secret clone army crafted for the Jedi."
114746,Twelve Monkeys,1995,129,8.1,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
83658,Blade Runner,1982,117,8.2,A blade runner must pursue and try to terminate four replicants who stole a ship in space and have returned to Earth to find their creator.
421715,The Curious Case of Benjamin Button,2008,166,7.8,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences."
1670345,Now You See Me,2013,115,7.3,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.
116282,Fargo,1996,98,8.1,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
1446714,Prometheus,2012,124,7.0,Following clues to the origin of mankind a team journey across the universe and find a structure on a distant moon containing a monolithic statue of a humanoid head and stone cylinders of alien blood but they soon find they are not alone.
120903,X-Men,2000,104,7.4,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.
1024648,Argo,2012,120,7.7,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980."
948470,The Amazing Spider-Man,2012,136,7.0,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death."
78788,Apocalypse Now,1979,153,8.5,"During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe."
50083,12 Angry Men,1957,96,8.9,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
241527,Harry Potter and the Sorcerer's Stone,2001,152,7.5,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School of Witchcraft and Wizardry."
2024544,12 Years a Slave,2013,134,8.1,"In the antebellum United States,"
454876,Life of Pi,2012,127,8.0,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
107048,Groundhog Day,1993,101,8.1,A weatherman finds himself living the same day over and over again.
1250777,Kick-Ass,2010,117,7.7,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
1631867,Edge of Tomorrow,2014,113,7.9,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
780504,Drive,2011,100,7.8,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself trouble when he helps out his neighbor.
113277,Heat,1995,170,8.2,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
116629,Independence Day,1996,145,6.9,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive."
62622,2001: A Space Odyssey,1968,149,8.3,"Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest."
1276104,Looper,2012,119,7.4,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
758758,Into the Wild,2007,148,8.2,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
1663202,The Revenant,2015,156,8.1,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
54215,Psycho,1960,109,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
118799,Life Is Beautiful,1997,116,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
2294629,Frozen,2013,102,7.6,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister, Anna, teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
829482,Superbad,2007,113,7.6,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
369610,Jurassic World,2015,124,7.0,A new theme park is built on the original site of Jurassic Park. Everything is going well until the park's newest attraction - a genetically modified giant stealth killing machine - escapes containment and goes on a killing spree.
245429,Spirited Away,2001,125,8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
234215,The Matrix Reloaded,2003,138,7.2,"Neo and the rebel leaders estimate that they have 72 hours until 250,000 probes discover Zion and destroy it and its inhabitants. During this, Neo must decide how he can save Trinity from a dark fate in his dreams."
1219289,Limitless,2011,105,7.4,"With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers."
1981115,Thor: The Dark World,2013,112,7.1,"When Dr. Jane Foster gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves."
120735,"Lock, Stock and Two Smoking Barrels",1998,107,8.2,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns."
119488,L.A. Confidential,1997,138,8.3,"As corruption grows in 1950s LA, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
73195,Jaws,1975,124,8.0,"When a gigantic great white shark begins to menace the small island community of Amity, a police chief, a marine scientist and a grizzled fisherman set out to stop it."
467406,Juno,2007,96,7.5,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child."
316654,Spider-Man 2,2004,127,7.3,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.
258463,The Bourne Identity,2002,119,7.9,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and regain his memory."
2582802,Whiplash,2014,107,8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
1232829,21 Jump Street,2012,109,7.2,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.
