film,oseba,vloga
54047,908919,igralec
54215,33,reziser
54215,578,igralec
54215,1260,igralec
54215,1463,igralec
54215,587256,igralec
54331,18,igralec
54331,40,reziser
54331,59,igralec
54331,1452,igralec
54331,1739,igralec
54698,30,igralec
54698,577,igralec
54698,1171,igralec
54698,1175,reziser
54698,623658,igralec
54997,56,igralec
54997,1276,igralec
54997,1453,igralec
54997,1715,igralec
54997,744035,reziser
55254,1792,igralec
55254,314671,reziser
55254,314867,igralec
55254,527217,reziser
55254,641729,igralec
55254,718627,reziser
55254,921131,igralec
55614,81,igralec
55614,937,igralec
55614,1995,igralec
55614,730385,reziser
55614,848560,igralec
55614,936404,reziser
55630,41,reziser
55630,1536,igralec
55630,619938,igralec
55630,867391,igralec
55630,875362,igralec
55928,125,igralec
55928,266,igralec
55928,496866,igralec
55928,936476,igralec
55928,950109,reziser
56172,27,igralec
56172,63,igralec
56172,180,reziser
56172,564,igralec
56172,370144,igralec
56193,40,reziser
56193,51,igralec
56193,1859,igralec
56193,168324,igralec
56193,528987,igralec
56218,69,igralec
56218,1239,reziser
56218,1450,igralec
56218,1463,igralec
56218,2131,igralec
56592,60,igralec
56592,576345,igralec
56592,612322,reziser
56592,614677,igralec
56592,653942,igralec
56801,19,reziser
56801,52,igralec
56801,733,igralec
56801,1012,igralec
56801,590452,igralec
56869,33,reziser
56869,1335,igralec
56869,1788,igralec
56869,1792,igralec
56869,687189,igralec
57012,40,reziser
57012,634,igralec
57012,1330,igralec
57012,1715,igralec
57012,943978,igralec
57076,125,igralec
57076,938,igralec
57076,1727,igralec
57076,502322,igralec
57076,950109,reziser
57115,277,igralec
57115,314,igralec
57115,537,igralec
57115,1258,igralec
57115,836328,reziser
57546,1982,igralec
57546,560076,igralec
57546,718627,reziser
57546,814862,igralec
57546,842425,igralec
58150,125,igralec
58150,303,igralec
58150,2085,igralec
58150,247881,igralec
58150,357891,reziser
58331,267,igralec
58331,1813,igralec
58331,424318,igralec
58331,829038,reziser
58331,866835,igralec
58385,30,igralec
58385,1322,igralec
58385,2030,reziser
58385,391361,igralec
58385,405035,igralec
58461,142,igralec
58461,1466,reziser
58461,2231,igralec
58461,462367,igralec
58461,525742,igralec
59113,180,reziser
59113,1036,igralec
59113,1046,igralec
59113,1725,igralec
59113,1768,igralec
59578,142,igralec
59578,1466,reziser
59578,1812,igralec
59578,2231,igralec
59578,103828,igralec
59742,267,igralec
59742,1626,igralec
59742,370821,igralec
59742,662223,igralec
59742,936404,reziser
59800,125,igralec
59800,805,igralec
59800,148041,igralec
59800,658885,igralec
59800,950109,reziser
60196,142,igralec
60196,1466,reziser
60196,1812,igralec
60196,321294,igralec
60196,908919,igralec
60827,5,reziser
60827,761,igralec
60827,85038,igralec
60827,472234,igralec
60827,880521,igralec
61184,9,igralec
61184,72,igralec
61184,1566,reziser
61184,1719,igralec
61184,6800,igralec
61418,432,igralec
61418,886,igralec
61418,1159,igralec
61418,671957,reziser
61418,689488,igralec
61512,56,igralec
61512,1421,igralec
61512,1510,igralec
61512,134201,igralec
61512,742341,reziser
61722,163,igralec
61722,843,igralec
61722,1566,reziser
61722,1684,igralec
61722,200122,igralec
61852,1982,igralec
61852,365201,igralec
61852,697515,igralec
61852,718624,igralec
61852,718627,reziser
62512,125,igralec
62512,318150,reziser
62512,357240,igralec
62512,848533,igralec
62512,906686,igralec
62622,40,reziser
62622,1158,igralec
62622,516972,igralec
62622,725220,igralec
62622,843213,igralec
63350,1681,reziser
63350,247659,igralec
63350,362457,igralec
63350,427977,igralec
63350,640621,igralec
63442,32,igralec
63442,1375,igralec
63442,1522,igralec
63442,263052,igralec
63442,769874,reziser
63522,591,reziser
63522,1023,igralec
63522,1201,igralec
63522,2106,igralec
63522,85782,igralec
64115,56,igralec
64115,602,igralec
64115,1351,reziser
64115,1510,igralec
64115,1684,igralec
64116,20,igralec
64116,314,igralec
64116,1012,igralec
64116,1466,reziser
64116,1673,igralec
64276,197,igralec
64276,454,igralec
64276,454,reziser
64276,1228,igralec
64276,579234,igralec
64665,163,igralec
64665,685,igralec
64665,569410,igralec
64665,587249,igralec
64665,772259,reziser
64757,1671,igralec
64757,1699,igralec
64757,275213,igralec
64757,402597,reziser
64757,493872,igralec
65214,34,igralec
65214,308,igralec
65214,1603,reziser
65214,639529,igralec
65214,752813,igralec
65421,1079,igralec
65421,1247,igralec
65421,1359,igralec
65421,365201,igralec
65421,718627,reziser
66206,1500,igralec
66206,1715,igralec
66206,769874,reziser
66206,835021,igralec
66206,950079,igralec
66921,40,reziser
66921,532,igralec
66921,60988,igralec
66921,165049,igralec
66921,535861,igralec
66995,125,igralec
66995,1762,igralec
66995,336509,igralec
66995,357891,reziser
66995,939836,igralec
66999,142,igralec
66999,345340,igralec
66999,732367,igralec
66999,763858,igralec
66999,796923,reziser
67116,432,igralec
67116,1243,reziser
67116,1702,igralec
67116,516215,igralec
67116,721073,igralec
67185,797,reziser
67185,1069,igralec
67185,2106,igralec
67185,159258,igralec
67185,681954,igralec
67992,698,igralec
67992,16776,igralec
67992,455702,igralec
67992,652578,igralec
67992,835799,reziser
68473,608,igralec
68473,685,igralec
68473,885,igralec
68473,958,reziser
68473,1074,igralec
68646,8,igralec
68646,199,igralec
68646,338,reziser
68646,473,igralec
68646,1001,igralec
69293,1789,reziser
69293,52023,igralec
69293,94081,igralec
69293,245367,igralec
69293,433525,igralec
69704,165,igralec
69704,184,reziser
69704,377,igralec
69704,1747,igralec
69704,494432,igralec
70034,45,igralec
70034,135622,igralec
70034,167195,reziser
70034,446485,igralec
70034,768334,igralec
70047,304,igralec
70047,995,igralec
70047,1243,reziser
70047,1884,igralec
70047,2011,igralec
70328,549,igralec
70328,1433,igralec
70328,5412,igralec
70328,357891,reziser
70328,416378,igralec
70379,134,igralec
70379,172,igralec
70379,217,reziser
70379,698998,igralec
70379,732364,igralec
70511,163,igralec
70511,537,igralec
70511,330150,igralec
70511,430460,igralec
70511,769874,reziser
70608,1811,igralec
70608,66028,igralec
70608,365201,igralec
70608,589248,igralec
70608,718627,reziser
70666,199,igralec
70666,1486,reziser
70666,444955,igralec
70666,570161,igralec
70666,709907,igralec
70735,56,igralec
70735,602,igralec
70735,1164,igralec
70735,1351,reziser
70735,1727,igralec
71230,316,reziser
71230,698,igralec
71230,1476,igralec
71230,1620,igralec
71230,466327,igralec
71315,197,igralec
71315,591,reziser
71315,1159,igralec
71315,1379,igralec
71315,520164,igralec
71360,338,reziser
71360,432,igralec
71360,1030,igralec
71360,2078,igralec
71360,307255,igralec
71562,134,igralec
71562,199,igralec
71562,338,reziser
71562,380,igralec
71562,473,igralec
71807,489,igralec
71807,549,igralec
71807,726,igralec
71807,1180,igralec
71807,357891,reziser
71853,92,igralec
71853,416,igralec
71853,416,reziser
71853,1037,igralec
71853,1385,igralec
71853,1402,reziser
72271,1361,reziser
72271,122782,igralec
72271,200758,igralec
72271,623605,igralec
72271,663935,igralec
72431,316,reziser
72431,698,igralec
72431,1204,igralec
72431,1404,igralec
72431,1967,igralec
72684,40,reziser
72684,1943,igralec
72684,473228,igralec
72684,535861,igralec
72684,641939,igralec
72890,199,igralec
72890,1030,igralec
72890,1486,reziser
72890,20897,igralec
72890,101604,igralec
73195,229,reziser
73195,377,igralec
73195,1702,igralec
73195,1727,igralec
73195,308882,igralec
73486,197,igralec
73486,1221,igralec
73486,1232,reziser
73486,77720,igralec
73486,760225,igralec
73629,215,igralec
73629,347,igralec
73629,960,igralec
73629,639782,igralec
73629,788940,reziser
74119,163,igralec
74119,602,igralec
74119,842,igralec
74119,1587,reziser
74119,912001,igralec
74285,237,igralec
74285,361,reziser
74285,651,igralec
74285,1388,igralec
74285,1453,igralec
74486,186,reziser
74486,60931,igralec
74486,430535,igralec
74486,620756,igralec
74486,829270,igralec
74958,34,igralec
74958,380,igralec
74958,1159,igralec
74958,1486,reziser
74958,2075,igralec
75005,60,igralec
75005,1149,reziser
75005,1665,igralec
75005,1831,igralec
75005,827032,igralec
75148,230,igralec
75148,814,reziser
75148,1735,igralec
75148,1835,igralec
75148,949350,igralec
75314,134,igralec
75314,149,igralec
75314,217,reziser
75314,983,igralec
75314,1732,igralec
75686,95,igralec
75686,95,reziser
75686,473,igralec
75686,1406,igralec
75686,731634,igralec
75860,76,igralec
75860,229,reziser
75860,377,igralec
75860,414,igralec
75860,227039,igralec
76666,237,igralec
76666,824,reziser
76666,129955,igralec
76666,331186,igralec
76666,587944,igralec
76752,549,igralec
76752,819,igralec
76752,1423,igralec
76752,318150,reziser
76752,432007,igralec
76759,27,igralec
76759,148,igralec
76759,184,reziser
76759,402,igralec
76759,434,igralec
77402,1681,reziser
77402,256361,igralec
77402,286010,igralec
77402,718203,igralec
77402,743417,igralec
77416,134,igralec
77416,686,igralec
77416,1030,igralec
77416,1047,reziser
77416,1698,igralec
77631,237,igralec
77631,330,igralec
77631,556,igralec
77631,1063,igralec
77631,459170,reziser
77651,118,reziser
77651,130,igralec
77651,587,igralec
77651,477341,igralec
77651,602985,igralec
77928,570,reziser
77928,1113,igralec
77928,5019,igralec
77928,93678,igralec
77928,591968,igralec
77975,4,igralec
77975,261,igralec
77975,484,reziser
77975,1371,igralec
77975,299122,igralec
78346,8,igralec
78346,432,igralec
78346,1149,reziser
78346,1659,igralec
78346,452288,igralec
78748,244,igralec
78748,457,igralec
78748,631,reziser
78748,643,igralec
78748,1021,igralec
78788,8,igralec
78788,338,reziser
78788,380,igralec
78788,640,igralec
78788,2078,igralec
79116,142,igralec
79116,1526,igralec
79116,89348,igralec
79116,796923,reziser
79116,857806,igralec
79417,163,igralec
79417,658,igralec
79417,737,igralec
79417,914,reziser
79417,377888,igralec
79470,92,igralec
79470,416,igralec
79470,1037,igralec
79470,1402,reziser
79470,1589,igralec
79501,154,igralec
79501,1950,igralec
79501,4306,reziser
79501,117412,igralec
79501,760394,igralec
79522,95,igralec
79522,95,reziser
79522,446,igralec
79522,473,igralec
79522,614526,igralec
79574,549,igralec
79574,1042,igralec
79574,1423,igralec
79574,3909,igralec
79574,318150,reziser
79817,230,igralec
79817,230,reziser
79817,1735,igralec
79817,1835,igralec
79817,949350,igralec
79944,1789,reziser
79944,293981,igralec
79944,342458,igralec
79944,435289,igralec
79944,813463,igralec
79945,559,igralec
79945,638,igralec
79945,1150,igralec
79945,1420,igralec
79945,936404,reziser
80120,1353,reziser
80120,1664,igralec
80120,65235,igralec
80120,878784,igralec
80120,942352,igralec
80339,558,igralec
80339,717,igralec
80339,720,reziser
80339,1332,igralec
80339,1878,reziser
80339,353546,igralec
80339,958387,reziser
80455,4,igralec
80455,101,igralec
80455,484,reziser
80455,1006,igralec
80455,130572,igralec
80487,195,igralec
80487,331,igralec
80487,601,reziser
80487,1098,igralec
80487,461095,igralec
80678,24,igralec
80678,164,igralec
80678,186,reziser
80678,457,igralec
80678,843,igralec
80684,148,igralec
80684,402,igralec
80684,434,igralec
80684,1850,igralec
80684,449984,reziser
80761,192446,reziser
80761,454415,igralec
80761,604987,igralec
80761,658133,igralec
80761,852551,igralec
81398,134,igralec
81398,217,reziser
81398,582,igralec
81398,1550,igralec
81398,898634,igralec
81505,40,reziser
81505,197,igralec
81505,1079,igralec
81505,1167,igralec
81505,515950,igralec
81573,432,igralec
81573,885,igralec
81573,1149,reziser
81573,1659,igralec
81573,452288,igralec
81573,504513,reziser
82010,256,igralec
82010,484,reziser
82010,1162,igralec
82010,67643,igralec
82010,622544,igralec
82096,583,reziser
82096,1638,igralec
82096,71059,igralec
82096,344963,igralec
82096,921044,igralec
82198,216,igralec
82198,469,igralec
82198,922,igralec
82198,1884,igralec
82198,587518,reziser
82340,118,reziser
82340,308,igralec
82340,587,igralec
82340,621,igralec
82340,1812,igralec
82398,468,igralec
82398,549,igralec
82398,962,igralec
82398,322515,reziser
82398,867694,igralec
82406,621,igralec
82406,1682,igralec
82406,16776,igralec
82406,47440,igralec
82406,75859,reziser
82406,723704,reziser
82406,828245,reziser
82694,154,igralec
82694,4306,reziser
82694,681041,igralec
82694,696463,igralec
82694,817748,igralec
82971,148,igralec
82971,229,reziser
82971,261,igralec
82971,293550,igralec
82971,722636,igralec
83658,148,igralec
83658,442,igralec
83658,631,reziser
83658,707,igralec
83658,1579,igralec
83866,106,igralec
83866,229,reziser
83866,1075,igralec
83866,1794,igralec
83866,908914,igralec
83907,600,reziser
83907,48260,igralec
83907,132257,igralec
83907,217822,igralec
83907,762445,igralec
83929,492,igralec
83929,576,igralec
83929,1662,igralec
83929,1680,igralec
83929,2132,reziser
83944,230,igralec
83944,1077,igralec
83944,1133,igralec
83944,467646,reziser
83944,571853,igralec
83987,24,igralec
83987,277,reziser
83987,1426,igralec
83987,368990,igralec
83987,786022,igralec
84503,570,reziser
84503,2097,igralec
84503,202870,igralec
84503,362959,igralec
84503,491190,igralec
84516,1361,reziser
84516,1576,igralec
84516,1851,igralec
84516,5266,igralec
84516,833152,igralec
84602,230,igralec
84602,230,reziser
84602,1735,igralec
84602,1835,igralec
84602,949350,igralec
84726,559,igralec
84726,638,igralec
84726,1150,igralec
84726,1420,igralec
84726,583292,reziser
84787,118,reziser
84787,621,igralec
84787,979,igralec
84787,202966,igralec
84787,557956,igralec
84805,163,igralec
84805,414,igralec
84805,1056,igralec
84805,1448,igralec
84805,1628,reziser
84827,310,igralec
84827,313,igralec
84827,1831,igralec
84827,513974,reziser
84827,604563,igralec
85334,82526,igralec
85334,163706,reziser
85334,227039,igralec
85334,569000,igralec
85334,777432,igralec
85794,134,igralec
85794,217,reziser
85794,928,igralec
85794,1471,igralec
85794,7958,igralec
85959,92,igralec
85959,416,igralec
85959,416,reziser
85959,1385,igralec
85959,1402,igralec
85959,1402,reziser
85995,331,igralec
85995,350,igralec
85995,601,reziser
85995,1642,igralec
85995,168042,igralec
86034,549,igralec
86034,726,igralec
86034,322515,reziser
86034,431139,igralec
86034,915468,igralec
86066,338,reziser
86066,369,igralec
86066,664,igralec
86066,1367,igralec
86066,1494,igralec
86190,148,igralec
86190,402,igralec
86190,434,igralec
86190,1850,igralec
86190,549658,reziser
86200,129,igralec
86200,360,igralec
86200,1592,igralec
86200,1887,reziser
86200,557956,igralec
86250,199,igralec
86250,201,igralec
86250,361,reziser
86250,874,igralec
86250,1512,igralec
86465,101,igralec
86465,484,reziser
86465,552,igralec
86465,747,igralec
86465,897,igralec
86541,249,igralec
86541,343,reziser
86541,1323,igralec
86541,245356,igralec
86541,810500,igralec
86567,111,igralec
86567,639,igralec
86567,824,reziser
86567,1056,igralec
86567,939795,igralec
86879,719,igralec
86879,931,igralec
86879,1232,reziser
86879,1371,igralec
86879,234541,igralec
86960,552,igralec
86960,976,reziser
86960,1662,igralec
86960,2060,igralec
86960,39226,igralec
86979,445,igralec
86979,531,igralec
86979,1053,reziser
86979,1054,reziser
86979,1826,igralec
86979,315288,igralec
87078,216,igralec
87078,1882,igralec
87078,5063,igralec
87078,150219,igralec
87078,281507,reziser
87182,186,reziser
87182,515,igralec
87182,768,igralec
87182,1492,igralec
87182,162361,igralec
87332,101,igralec
87332,195,igralec
87332,244,igralec
87332,601,igralec
87332,718645,reziser
87363,121,igralec
87363,1102,reziser
87363,1924,igralec
87363,2090,igralec
87363,521829,igralec
87469,148,igralec
87469,229,reziser
87469,1009,igralec
87469,700869,igralec
87469,702841,igralec
87538,223,igralec
87538,814,reziser
87538,1494,igralec
87538,1552,igralec
87538,184392,igralec
87544,477449,igralec
87544,594503,reziser
87544,623214,igralec
87544,793585,igralec
87544,875332,igralec
87800,127,reziser
87800,136,igralec
87800,387,igralec
87800,486,igralec
87800,768334,igralec
87843,134,igralec
87843,249,igralec
87843,1466,reziser
87843,1527,igralec
87843,1852,igralec
87884,176,igralec
87884,694,reziser
87884,1765,igralec
87884,1777,igralec
87884,167467,igralec
87928,326,igralec
87928,430,igralec
87928,47265,igralec
87928,807571,igralec
87928,933505,reziser
88011,140,igralec
88011,362,igralec
88011,678,igralec
88011,709,reziser
88011,635649,igralec
88128,208,igralec
88128,455,reziser
88128,1309,igralec
88128,1706,igralec
88128,377888,igralec
88170,559,igralec
88170,559,reziser
88170,638,igralec
88170,1150,igralec
88170,1420,igralec
88247,116,reziser
88247,157,igralec
88247,216,igralec
88247,299,igralec
88247,934902,igralec
88258,1302,igralec
88258,1661,igralec
88258,1661,reziser
88258,571106,igralec
88258,834571,igralec
88323,441,igralec
88323,583,reziser
88323,660,igralec
88323,574468,igralec
88323,646768,igralec
88763,150,igralec
88763,417,igralec
88763,502,igralec
88763,670,igralec
88763,709,reziser
88846,134,igralec
88846,416,reziser
88846,596,igralec
88846,1340,igralec
88846,2114,igralec
88847,208,igralec
88847,389,igralec
88847,455,reziser
88847,555,igralec
88847,639,igralec
88930,347,igralec
88930,502,igralec
88930,1404,igralec
88930,107281,igralec
88930,528718,reziser
88939,155,igralec
88939,229,reziser
88939,418,igralec
88939,1856,igralec
88939,1923,igralec
88944,216,igralec
88944,445,igralec
88944,1044,igralec
88944,504495,reziser
88944,920460,igralec
89218,276,igralec
89218,397,igralec
89218,982,igralec
89218,1149,reziser
89218,169480,igralec
89530,154,igralec
89530,4306,reziser
89530,168284,igralec
89530,644695,reziser
89530,817748,igralec
89530,877913,igralec
89755,602,igralec
89755,658,igralec
89755,1628,reziser
89755,1970,igralec
89755,457655,igralec
89880,230,igralec
89880,925,igralec
89880,1077,igralec
89880,181902,reziser
89880,621008,igralec
89881,41,reziser
89881,619938,igralec
89881,628704,igralec
89881,753480,igralec
89881,855417,igralec
89927,230,igralec
89927,230,reziser
89927,1735,igralec
89927,1835,igralec
89927,949350,igralec
90264,549,igralec
90264,617,igralec
90264,686,igralec
90264,5063,igralec
90264,322515,reziser
90305,200,igralec
90305,455,reziser
90305,1309,igralec
90305,1456,igralec
90305,593819,igralec
90329,148,igralec
90329,534,igralec
90329,1305,igralec
90329,1837,reziser
90329,813977,igralec
90555,1357,igralec
90555,265363,reziser
90555,347858,igralec
90555,468957,igralec
90555,576851,igralec
90605,116,reziser
90605,244,igralec
90605,299,igralec
90605,1343,igralec
90605,1663,igralec
90728,118,reziser
90728,326,igralec
90728,621,igralec
90728,241748,igralec
90728,393222,igralec
90756,186,reziser
90756,368,igralec
90756,454,igralec
90756,618,igralec
90756,1492,igralec
90863,56,igralec
90863,129,igralec
90863,217,reziser
90863,1512,igralec
90863,1726,igralec
91042,111,igralec
91042,214,igralec
91042,455,reziser
91042,470,igralec
91042,1688,igralec
91064,133,igralec
91064,156,igralec
91064,343,reziser
91064,100205,igralec
91064,315288,igralec
91203,125,igralec
91203,317,igralec
91203,483,igralec
91203,366509,igralec
91203,611683,reziser
91326,814,reziser
91326,1494,igralec
91326,1552,igralec
91326,425944,igralec
91326,540330,igralec
91369,124,igralec
91369,309,igralec
91369,1345,reziser
91369,296614,igralec
91369,860712,igralec
91605,125,igralec
91605,225,igralec
91605,269,reziser
91605,59946,igralec
91605,702818,igralec
91763,221,igralec
91763,231,reziser
91763,297,igralec
91763,353,igralec
91763,202966,igralec
91790,208,igralec
91790,1083,igralec
91790,1633,igralec
91790,1765,igralec
91790,222043,reziser
92005,203,igralec
92005,397,igralec
92005,696,igralec
92005,1661,reziser
92005,5278,igralec
92007,559,igralec
92007,559,reziser
92007,638,igralec
92007,1150,igralec
92007,1420,igralec
92067,434,igralec
92067,1458,igralec
92067,1593,igralec
92067,4735,igralec
92067,594503,reziser
92099,129,igralec
92099,174,igralec
92099,209,igralec
92099,534,igralec
92099,1716,reziser
92563,134,igralec
92563,570,reziser
92563,620,igralec
92563,956,igralec
92563,1648,igralec
92644,552,igralec
92644,1074,igralec
92644,1638,igralec
92644,1662,igralec
92644,1716,reziser
92675,241,igralec
92675,36582,reziser
92675,43994,igralec
92675,123680,igralec
92675,316455,igralec
92890,426,igralec
92890,664,igralec
92890,1583,igralec
92890,1915,reziser
92890,722407,igralec
92965,229,reziser
92965,288,igralec
92965,518,igralec
92965,1669,igralec
