id,naslov,dolzina,leto,ocena,metascore,glasovi,zasluzek,opis
33467,Drzavljan Kane,119,1941,8.4,100,350260,1585634,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance."
33563,Dumbo,64,1941,7.3,,101658,1600000,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential."
33870,Malteski sokol,100,1941,8.1,96,135864,,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette."
34492,Bambi,70,1942,7.3,,111839,102797150,The story of a young deer growing up in the forest.
34583,Casablanca,102,1942,8.5,100,456930,1024560,A cynical nightclub owner protects an old flame and her husband from Nazis in Morocco.
35423,Kate in Leopold,118,2001,6.4,44,72126,47121859,An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.
36775,Double Indemnity,107,1944,8.3,95,121100,5720000,An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.
38355,Globoko spanje,114,1946,8.0,,71699,,"Private detective Philip Marlowe is hired by a rich family. Before the complex case is over, he's seen murder, blackmail, and what might be love."
38650,Cudovito zivljenje,130,1946,8.6,89,336541,7270000,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
38787,Razvpita,101,1946,8.0,100,82635,10464000,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?
40522,Tatovi koles,89,1948,8.3,,119627,332930,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it."
40746,Vrv,80,1948,8.0,73,111214,,"Two young men strangle their ""inferior"" classmate, hide his body in their apartment, and invite his friends and family to a dinner party as a means to challenge the ""perfection"" of their crime."
40897,Zaklad Sierra Madre,126,1948,8.3,99,97409,5014000,"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains."
41959,Tretji človek,104,1949,8.2,97,137587,449191,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
42192,Vse o Evi,138,1950,8.3,98,102631,10177,An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.
42332,Pepelka,74,1950,7.3,,125231,85000000,"When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq, and from her Fairy Godmother."
42876,V gozdu,88,1950,8.3,,127285,96568,A heinous crime and its aftermath are recalled from differing points of view.
43014,Sunset Blvd.,110,1950,8.5,,170809,,"A screenwriter is hired to rework a faded silent film star's script, only to find himself developing a dangerous relationship."
43265,The African Queen,105,1951,7.9,91,64746,536118,"In Africa during World War I, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship."
43274,Alice in Wonderland,75,1951,7.4,,111337,,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.
43456,The Day the Earth Stood Still,92,1951,7.8,,70583,,An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.
44079,Neznanec iz Nord expressa,101,1951,8.0,88,110737,7630000,A psychotic socialite attempts to force a professional tennis star to prove a theory that two complete strangers can get away with murder.
44081,Tramvaj Pozelenje,122,1951,8.0,96,88683,8000000,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
44706,Tocno opoldne,85,1952,8.0,89,88036,9450000,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train."
45152,Pojmo v dežju,103,1952,8.3,99,186957,8819028,A silent film production company and cast make a difficult transition to sound.
46183,Peter Pan,77,1953,7.3,,106319,87404651,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan."
46250,Rimske pocitnice,118,1953,8.1,76,114319,,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
46912,Kliči M za umor,105,1954,8.2,,134264,12562,A tennis player frames his unfaithful wife for first-degree murder after she inadvertently hinders his plan to kill her.
47296,Na dokih New Yorka,108,1954,8.2,88,123552,9600000,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
47396,Dvoriščno okno,112,1954,8.5,100,380578,36764313,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
47478,Sedem samurajev,207,1954,8.7,98,271348,269061,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
48280,Lady and the Tramp,76,1955,7.3,,102912,93600000,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.
48424,Noc lovca,92,1955,8.0,99,72966,,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid $10,000 he'd stolen in a robbery."
48545,Upornik brez razloga,111,1955,7.8,87,73598,,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies."
49406,Rop brez plena,85,1956,8.0,,70943,,Crooks plan and execute a daring race-track robbery.
49730,The Searchers,119,1956,8.0,,70797,,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.
50083,12 jeznih mož,96,1957,8.9,96,560979,,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
50212,Most na reki Kwai,161,1957,8.2,87,179316,44908000,"After settling his differences with a Japanese PoW camp commander, a British colonel co-operates to oversee his men's construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it."
50825,Steze slave,88,1957,8.4,,148298,,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
50976,Sedmi pečat,96,1957,8.2,,136679,,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
50986,Divje jagode,91,1957,8.2,,79728,,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
51201,Tožilčeva priča,116,1957,8.4,,85727,8175000,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
52311,Touch of Evil,95,1958,8.1,99,89380,2237659,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town."
52357,Vrtoglavica,128,1958,8.3,100,305215,3200000,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.
52618,Ben Hur,212,1959,8.1,90,194343,74700000,"When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
53125,Sever-severozahod,136,1959,8.3,98,260736,13275000,"A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive."
53198,400 udarcev,99,1959,8.1,,88205,,"A young boy, left without attention, delves into a life of petty crime."
53285,Uspavana lepotica,75,1959,7.3,,117135,51600000,"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies."
53291,Nekateri so za vroče,121,1959,8.3,97,210516,25000000,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
53472,Do zadnjega diha,90,1960,7.9,,61816,336705,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy."
53604,Apartma,125,1960,8.3,,136039,18600000,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
54047,Sedem veličastnih,128,1960,7.8,,78252,4905000,An oppressed Mexican peasant village hires seven gunfighters to help defend their homes.
54215,Psiho,109,1960,8.5,97,510428,32000000,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
54331,Spartacus,197,1960,7.9,87,110029,30000000,The slave Spartacus leads a violent revolt against the decadent Roman Republic.
54698,Zajtrk pri Tiffany,115,1961,7.7,76,146057,,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way."
54997,The Hustler,134,1961,8.0,,68998,,An up-and-coming pool player plays a long-time champion in a single high-stakes match.
55254,101 dalmatinec,79,1961,7.2,,131380,144880014,"When a litter of Dalmatian puppies are abducted by the minions of Cruella de Vil, the parents must find them before she uses them for a diabolical fashion statement."
55614,Zgodba z zahodne strani,153,1961,7.6,86,84183,43656822,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy."
55630,Yojimbo - Telesna straža,110,1961,8.3,,92173,,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
55928,Dr. No,110,1962,7.3,78,130112,16067035,A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.
56172,Lawrence Arabski,216,1962,8.3,100,231792,44824144,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
56193,Lolita,153,1962,7.6,,79593,9250000,A middle-aged college professor becomes infatuated with a fourteen-year-old nymphet.
56218,The Manchurian Candidate,126,1962,8.0,94,66368,,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.
56592,Ubiti ptico oponašalko,129,1962,8.3,87,261179,,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
56801,Osem in pol,138,1963,8.1,,96181,50690,A harried movie director retreats into his memories and fantasies.
56869,Ptiči,119,1963,7.7,87,149313,11403529,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.
57012,Dr. Strangelove,95,1964,8.4,96,400453,275902,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
57076,From Russia with Love,115,1963,7.5,85,101949,24796765,James Bond willingly falls into an assassination ploy involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by SPECTRE.
57115,The Great Escape,172,1963,8.2,87,197485,12100000,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
57546,The Sword in the Stone,79,1963,7.2,70,76351,22182353,"A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history."
58150,Goldfinger,110,1964,7.7,87,154132,51081062,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
58331,Mary Poppins,139,1964,7.8,88,127858,102272727,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father."
58385,Moja draga dama,170,1964,7.9,,76972,72000000,A snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.
58461,Za pest dolarjev,99,1964,8.0,65,171054,14500000,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
59113,Doktor Živago,197,1965,8.0,69,62333,111722000,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during the First World War and then the October Revolution."
59578,Za dolar več,132,1965,8.3,74,194821,15000000,Two bounty hunters with the same intentions team up to track down a Western outlaw.
59742,"Moje pesmi, moje sanje",172,1965,8.0,63,173166,163214286,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
59800,Thunderball,130,1965,7.0,64,92249,63600000,James Bond heads to The Bahamas to recover two nuclear warheads stolen by SPECTRE agent Emilio Largo in an international extortion scheme.
60196,"Dober, grd, hudoben",161,1966,8.9,90,593780,6100000,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
60827,Persona,85,1966,8.1,,81823,,A nurse is put in charge of a mute actress and finds that their personas are melding together.
61184,Kdo se boji Virginie Woolf?,131,1966,8.0,,62372,,"A bitter, aging couple, with the help of alcohol, use a young couple to fuel anguish and emotional pain towards each other."
61418,Bonnie and Clyde,111,1967,7.9,81,90694,,"Bonnie Parker, a bored waitress falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
61512,Hladnokrvni kaznjenec,126,1967,8.1,91,142444,,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
61722,Diplomiranec,106,1967,8.0,77,231857,104945305,A disillusioned college graduate finds himself torn between his older lover and her daughter.
61852,The Jungle Book,78,1967,7.6,,144241,141843612,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.
62512,Le dvakrat živiš,117,1967,6.9,61,85144,43084787,Agent 007 and the Japanese secret service ninja force must find and stop the true culprit of a series of spacejackings before nuclear war is provoked.
62622,2001: A Space Odyssey,149,1968,8.3,82,517150,56954992,"A space-opera spanning the dawn of man to humanity reaching the stars, 2001: A Space Odyssey tells the story of the Black Monolith, humanity's evolution and the rise of A.I.'s ultimate supercomputer HAL 9000."
63350,Noc zivih mrtvecev,96,1968,7.9,88,101056,89029,"There is panic throughout the nation as the dead suddenly come back to life. The film follows a group of characters who barricade themselves in an old farmhouse in an attempt to remain safe from these bloodthirsty, flesh-eating monsters."
63442,Planet opic,112,1968,8.0,79,152584,33395426,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved."
63522,Rosemary's Baby,137,1968,8.0,96,162767,,"A young couple moves in to an apartment only to be surrounded by peculiar neighbors and occurrences. When the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life."
64115,Butch Cassidy in Sundance Kid,110,1969,8.1,66,180597,102308889,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heals. Their solution - escape to Bolivia."
64116,Bilo je nekoč na divjem zahodu,165,1968,8.5,80,259641,5321508,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
64276,Easy Rider,95,1969,7.4,86,85467,41728598,"Through the open country and desert lands, two bikers head from L.A to New Orleans, and along the way, meet a man who bridges a counter-culture gap they are unaware of."
64665,Polnocni kavboj,113,1969,7.9,79,87252,44785053,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process."
64757,V službi njenega veličanstva,142,1969,6.8,61,68921,22800000,James Bond woos a mob boss's daughter and goes undercover to uncover the true reason for Blofeld's allergy research in the Swiss Alps that involves beautiful women from around the world.
65214,Divja banda,135,1969,8.0,,69857,,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
65421,The AristoCats,78,1970,7.1,65,78311,55675257,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country."
66206,Patton,172,1970,8.0,91,85725,61700000,"The World War II phase of the career of the controversial American general, George S. Patton."
66921,A Clockwork Orange,136,1971,8.3,80,660357,,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
66995,Diamanti so večni,120,1971,6.7,59,83669,43819547,"A diamond smuggling investigation leads James Bond to Las Vegas, where he uncovers an evil plot involving a rich business tycoon."
66999,Škorpijon ubija,102,1971,7.8,90,128072,,"When a mad man calling himself 'the Scorpio Killer' menaces the city, tough as nails San Francisco Police Inspector Harry Callahan is assigned to track down and ferret out the crazed psychopath."
67116,The French Connection,104,1971,7.8,96,95878,,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.
67185,Harold and Maude,91,1971,8.0,62,63483,,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
67992,Willy Wonka & the Chocolate Factory,100,1971,7.8,67,152900,4000000,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
68473,Deliverance,109,1972,7.7,82,88162,,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country."
68646,Boter,175,1972,9.2,100,1372528,134966411,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
69293,Solaris,167,1971,8.1,90,66404,,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
69704,American Graffiti,110,1973,7.5,97,72314,115000000,A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.
70034,V zmajevem gnezdu,102,1973,7.7,83,86027,25000000,A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.
70047,The Exorcist,122,1973,8.0,82,319454,232906145,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
70328,Živi in pusti umreti,121,1973,6.8,55,84762,35377836,007 is sent to stop a diabolically brilliant heroin magnate armed with a complex organization and a reliable psychic tarot card reader.
70379,Ulice zla,112,1973,7.4,96,80790,3132645,A small-time hood aspires to work his way up the ranks of a local mob.
70511,Metulj,151,1973,8.0,58,108234,53267000,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape."
70608,Robin Hood,83,1973,7.6,,98760,32056467,The story of the legendary outlaw is portrayed with the characters as humanoid animals.
70666,Serpico,130,1973,7.8,87,93385,29800000,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
70735,Želo,129,1973,8.3,80,210393,159600000,Two grifters team up to pull off the ultimate con.
71230,Vroca sedla,93,1974,7.8,73,111504,119500000,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
71315,Kitajska četrt,130,1974,8.2,92,255729,29200000,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
71360,Prisluskovanje,113,1974,7.9,86,84583,4420000,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that a couple, on whom he is spying, will be murdered."
71562,"Boter, II. del",202,1974,9.0,90,950252,57300000,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
71807,Mož z zlato pištolo,125,1974,6.8,43,83632,20972000,James Bond is led to believe that he is targeted by the world's most expensive assassin while he attempts to recover sensitive solar cell technology that is being sold to the highest bidder.
71853,Monty Python and the Holy Grail,91,1975,8.3,93,443408,1229197,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
72271,The Texas Chain Saw Massacre,83,1974,7.5,75,115301,30859000,Two siblings and three of their friends en route to visit their grandfather's grave in Texas end up falling victim to a family of cannibalistic psychopaths.
72431,Mladi Frankenstein,106,1974,8.0,80,129385,86300000,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
72684,Barry Lyndon,185,1975,8.1,,126180,,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
72890,Pasje popoldne,125,1975,8.0,86,212555,50000000,A man robs a bank to pay for his lover's operation; it turns into a hostage situation and a media circus.
73195,Žrelo,124,1975,8.0,87,491237,260000000,"A local sheriff, a marine biologist and an old seafarer team up to hunt down a great white shark wreaking havoc in a beach resort."
73486,Let nad kukavičjim gnezdom,133,1975,8.7,80,796153,112000000,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
73629,The Rocky Horror Picture Show,100,1975,7.4,58,118045,139876417,A newly engaged couple have a breakdown in an isolated area and must pay a call to the bizarre residence of Dr. Frank-N-Furter.
74119,Vsi predsednikovi možje,138,1976,8.0,80,87803,70600000,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
74285,Carrie,98,1976,7.4,85,145648,33800000,"Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom."
74486,Eraserhead,89,1977,7.4,87,86142,7000000,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child."
74958,Televizijska mreža,121,1976,8.1,88,125935,,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
75005,The Omen,111,1976,7.6,62,93741,4273886,Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?
75148,Rocky,120,1976,8.1,70,452211,117235247,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.
75314,Taksist,114,1976,8.3,94,608868,28262574,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
75686,Annie Hall,93,1977,8.0,92,230815,39200000,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.
75860,Bližnja srečanja tretje vrste,138,1977,7.7,90,161434,132088635,"Roy Neary, an electric lineman, watches how his quiet and ordinary daily life turns upside down after a close encounter with a UFO."
76666,Vrocica sobotne noci,118,1977,6.8,77,62256,94213184,"Anxious about his future after high school, a 19 year old Italian American from Brooklyn tries to escape the harsh reality of his bleak family life by dominating the dance floor at the local disco."
76752,"Vohun, ki me je ljubil",125,1977,7.1,55,86417,46800000,"James Bond investigates the hijacking of British and Russian submarines carrying nuclear warheads, with the help of a K.G.B. Agent, whose lover he killed."
76759,Vojna zvezd: Epizoda IV - Novo upanje,121,1977,8.6,90,1076854,322740140,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the evil Darth Vader."
77402,Dawn of the Dead,127,1978,8.0,71,100459,5100000,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall."
77416,Lovec na jelene,183,1978,8.1,81,274576,48979328,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
77631,Briljantina,110,1978,7.2,70,199172,188755690,"Good girl Sandy and greaser Danny fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
77651,Noč čarovnic,91,1978,7.8,78,187393,47000000,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield to kill again."
77928,Midnight Express,121,1978,7.6,59,62992,35000000,"Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison."
77975,Animal House,109,1978,7.6,79,101917,201747,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him."
78346,Superman,143,1978,7.3,80,143113,134218018,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero."
78748,Osmi potnik,116,1979,8.5,83,683728,78900000,"After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun."
78788,Apokalipsa danes,147,1979,8.5,94,525884,83471511,"During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe."
79116,Pobeg iz Alcatraza,112,1979,7.6,76,100459,43000000,"Alcatraz is the most secure prison of its time. It is believed that no one can ever escape from it, until three daring men make a possible successful attempt at escaping from one of the most infamous prisons in the world."
79417,Kramer proti Kramerju,105,1979,7.8,77,113611,106260000,"Ted Kramer's wife leaves him, allowing for a lost bond to be rediscovered between Ted and his son, Billy. But a heated custody battle ensues over the divorced couple's son, deepening the wounds left by the separation."
79470,Life of Brian,94,1979,8.1,75,320237,20045115,"Born on the original Christmas in the stable next door to Jesus, Brian of Nazareth spends his life being mistaken for a messiah."
79501,Pobesneli Max: Cestni bojevnik,88,1979,7.0,73,171605,8750000,"In a self-destructing world, a vengeful Australian policeman sets out to stop a violent motorcycle gang."
79522,Manhattan,96,1979,8.0,83,118504,45700000,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.
79574,Operacija vesolje,126,1979,6.3,66,79152,70308099,"James Bond investigates the mid-air theft of a space shuttle, and discovers a plot to commit global genocide."
79817,Rocky II,119,1979,7.2,61,162853,6390537,"Rocky struggles in family life after his bout with Apollo Creed, while the embarrassed champ insistently goads him to accept a challenge for a rematch."
79944,Stalker,162,1979,8.1,,92050,234723,A guide leads two men through an area known as the Zone to find a room that grants wishes.
79945,Star Trek: The Motion Picture,132,1979,6.4,48,72306,82258456,"When an alien spacecraft of enormous power is spotted approaching Earth, Admiral James T. Kirk resumes command of the overhauled USS Enterprise in order to intercept it."
80120,Bojevniki podzemlja,92,1979,7.7,65,82642,22490039,"In the near future, a charismatic leader summons the street gangs of New York City in a bid to take it over. When he is killed, The Warriors are falsely blamed and now must fight their way home while every other gang is hunting them down."
80339,Ali je pilot v letalu?,88,1980,7.8,78,183855,83400000,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.
80455,Brata Blues,133,1980,7.9,60,162177,57229890,"Jake Blues, just out from prison, puts together his old band to save the Catholic home where he and brother Elwood were raised."
80487,Caddyshack,98,1980,7.3,48,93179,39846344,An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.
80678,The Elephant Man,124,1980,8.2,77,193059,,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous facade, there is revealed a person of intelligence and sensitivity."
